#meta,export_name,profile_data
#meta,original_variable,beam['profile_data']
#meta,shape,"(5, 800, 7)"
#meta,ndim,3
#meta,size,28000
#meta,export_mode,full
i,j,k,value
0,20,4,8.748632215575608
0,20,5,45.164536927648214
0,20,6,1.0085566814321278
0,21,0,0.9710620041122702
0,21,1,0.023251356727654444
0,21,2,0.005686639160075375
0,21,3,0.21273878709568156
0,21,4,8.857335408369472
0,21,5,45.20260284912366
0,21,6,1.008547461309405
0,22,0,0.9691530543253559
0,22,1,0.02500084576032177
0,22,2,0.005846099914322272
0,22,3,0.20957789481074293
0,22,4,9.213265902387592
0,22,5,45.18767737922513
0,22,6,1.0086928910872002
0,23,0,0.9672252144876257
0,23,1,0.026830895537454654
0,23,2,0.005943889974919648
0,23,3,0.21449798751905394
0,23,4,9.462095654497654
0,23,5,45.21078247157468
0,23,6,1.0086192487067513
0,24,0,0.9652052580295246
0,24,1,0.028695161101375873
0,24,2,0.006099580869099548
0,24,3,0.20624926781093142
0,24,4,9.53243631759901
0,24,5,45.17233233505094
0,24,6,1.0088182827852679
0,25,0,0.9634635120599497
0,25,1,0.030425584653949032
0,25,2,0.006110903286101227
0,25,3,0.22214021598262773
0,25,4,9.939488894095412
0,25,5,45.24782158023945
0,25,6,1.008891028026238
0,26,0,0.9614878498495624
0,26,1,0.03220469529251303
0,26,2,0.006307454857924546
0,26,3,0.22185345427719916
0,26,4,10.053885697473078
0,26,5,45.24628107522953
0,26,6,1.0087410232693779
0,27,0,0.9599910141548286
0,27,1,0.03361605006914992
0,27,2,0.006392935776021503
0,27,3,0.21383252393038782
0,27,4,10.243995340608956
0,27,5,45.20757287410511
0,27,6,1.0097229545447886
0,28,0,0.9582534967043964
0,28,1,0.03529561643493811
0,28,2,0.006450886860665468
0,28,3,0.2143505680434356
0,28,4,10.467703747349127
0,28,5,45.210076917248
0,28,6,1.009898501640285
0,29,0,0.9565566223141231
0,29,1,0.03645592813331652
0,29,2,0.006987449552560449
0,29,3,0.2227725529687747
0,29,4,10.455481139484238
0,29,5,45.25080416958877
0,29,6,1.00957258214254
0,30,0,0.9548788009854908
0,30,1,0.038176014981624914
0,30,2,0.006945184032884293
0,30,3,0.2268814816600847
0,30,4,10.694566880449464
0,30,5,45.27120066650614
0,30,6,1.0095247184334306
0,31,0,0.9528481875152756
0,31,1,0.04020049606371928
0,31,2,0.006951316421005159
0,31,3,0.23553398973640036
0,31,4,10.862984736729475
0,31,5,45.315427648562256
0,31,6,1.009054625560282
0,32,0,0.951818144348312
0,32,1,0.04124653941180764
0,32,2,0.006935316239880334
0,32,3,0.2278899965870563
0,32,4,11.150035853609939
0,32,5,45.276247504327394
0,32,6,1.0099456947096572
0,33,0,0.9504936969782569
0,33,1,0.04243529620791362
0,33,2,0.007071006813829552
0,33,3,0.22825612756321384
0,33,4,11.336999512095527
0,33,5,45.278046023822355
0,33,6,1.0108911284736837
0,34,0,0.9486873882459224
0,34,1,0.04413812384774363
0,34,2,0.007174487906334076
0,34,3,0.23834828822312204
0,34,4,11.472210800159004
0,34,5,45.33004865853088
0,34,6,1.0096705177549263
0,35,0,0.9471650897511266
0,35,1,0.045409757321487436
0,35,2,0.007425152927386004
0,35,3,0.2292728924306922
0,35,4,11.625605453335828
0,35,5,45.28318401889096
0,35,6,1.0110329537370275
0,36,0,0.9457588186554569
0,36,1,0.04645668326832732
0,36,2,0.007784498076215836
0,36,3,0.23479316820508364
0,36,4,11.729762364602921
0,36,5,45.31151439922539
0,36,6,1.0104314503032181
0,37,0,0.9455580300638706
0,37,1,0.04667575137211686
0,37,2,0.00776621856401252
0,37,3,0.2365620244886537
0,37,4,11.76020816783669
0,37,5,45.320676923241095
0,37,6,1.0103421230415337
0,38,0,0.9438661053348218
0,38,1,0.04807670079714575
0,38,2,0.008057193868032487
0,38,3,0.24096401882179683
0,38,4,12.02531151009384
0,38,5,45.34396194659006
0,38,6,1.011179348942003
0,39,0,0.9422187316768342
0,39,1,0.049890572213195095
0,39,2,0.00789069610997067
0,39,3,0.23976793197189958
0,39,4,12.277933214534196
0,39,5,45.33751350949237
0,39,6,1.0118990088846929
0,40,0,0.9406605552434274
0,40,1,0.051260158747184745
0,40,2,0.00807928600938794
0,40,3,0.24882201333708207
0,40,4,12.410683387201095
0,40,5,45.386258442082664
0,40,6,1.0108944784934757
0,41,0,0.9393147923452152
0,41,1,0.05235224829905506
0,41,2,0.008332959355729697
0,41,3,0.2429364068764056
0,41,4,12.565629623154965
0,41,5,45.35436160751227
0,41,6,1.0118095035798411
0,42,0,0.9372914877034131
0,42,1,0.05392130952479752
0,42,2,0.008787202771789359
0,42,3,0.24776171654317616
0,42,4,12.605646316148684
0,42,5,45.3805378973133
0,42,6,1.0113559033780857
0,43,0,0.936428558357552
0,43,1,0.05490374448763621
0,43,2,0.00866769715481171
0,43,3,0.24775933496480565
0,43,4,12.823909200272745
0,43,5,45.38049047830134
0,43,6,1.0114975633719165
0,44,0,0.9348688846764965
0,44,1,0.056439478354319575
0,44,2,0.008691636969183904
0,44,3,0.24828113043423627
0,44,4,13.006691305186544
0,44,5,45.383479059834954
0,44,6,1.0122267728070253
0,45,0,0.9333534058878424
0,45,1,0.05748699221310448
0,45,2,0.009159601899053134
0,45,3,0.25625903447009574
0,45,4,13.159047799522408
0,45,5,45.427701711188476
0,45,6,1.0119564270930166
0,46,0,0.9323998668271996
0,46,1,0.0586435961577098
0,46,2,0.008956537015090731
0,46,3,0.25756324095771743
0,46,4,13.335499871588567
0,46,5,45.43504359711261
0,46,6,1.0123572355656203
0,47,0,0.9314589544279707
0,47,1,0.059723092981459766
0,47,2,0.008817952590569444
0,47,3,0.26059927174298975
0,47,4,13.572528245697228
0,47,5,45.45234692807443
0,47,6,1.0128672249897908
0,48,0,0.9301069736788822
0,48,1,0.06118117153456633
0,48,2,0.008711854786551546
0,48,3,0.2655886029416687
0,48,4,13.775543068554715
0,48,5,45.48126219362004
0,48,6,1.0130458975265175
0,49,0,0.928376673735011
0,49,1,0.062400502547812084
0,49,2,0.009222823717176882
0,49,3,0.26610816007718124
0,49,4,13.817099662343375
0,49,5,45.48421361181252
0,49,6,1.0132042819510567
0,50,0,0.9270567846354549
0,50,1,0.06350916238606137
0,50,2,0.009434052978483695
0,50,3,0.2762119924638332
0,50,4,13.994073789063332
0,50,5,45.54441084628518
0,50,6,1.0126374210470432
0,51,0,0.925562842305317
0,51,1,0.06460975667083944
0,51,2,0.00982740102384346
0,51,3,0.27559233518167947
0,51,4,14.093025849468859
0,51,5,45.540697717713435
0,51,6,1.0129098301731096
0,52,0,0.924388423287636
0,52,1,0.06563397252474619
0,52,2,0.009977604187617815
0,52,3,0.27582960656154576
0,52,4,14.268821476993383
0,52,5,45.5421511426001
0,52,6,1.0136798078200877
0,53,0,0.9230522940872685
0,53,1,0.06656356032974461
0,53,2,0.010384145582986873
0,53,3,0.2800537494569935
0,53,4,14.404984106057528
0,53,5,45.56811298921349
0,53,6,1.0138295318343946
0,54,0,0.9218953379659137
0,54,1,0.06770477702339893
0,54,2,0.010399885010687344
0,54,3,0.2832117688573001
0,54,4,14.614175913426905
0,54,5,45.58741805349311
0,54,6,1.014208465905421
0,55,0,0.9203022195953482
0,55,1,0.06899712289208382
0,55,2,0.01070065751256791
0,55,3,0.28963529229545903
0,55,4,14.756907521646774
0,55,5,45.62779615863044
0,55,6,1.0134318702942666
0,56,0,0.919364838584002
0,56,1,0.06996653609151135
0,56,2,0.01066862532448672
0,56,3,0.292619806417835
0,56,4,14.806145895351055
0,56,5,45.646756942311214
0,56,6,1.01418860917645
0,57,0,0.9178945252042999
0,57,1,0.0707434816128267
0,57,2,0.011361993182873419
0,57,3,0.3007859279352518
0,57,4,14.918043466684558
0,57,5,45.699822880786584
0,57,6,1.014092356654511
0,58,0,0.916882471193232
0,58,1,0.07192966553697934
0,58,2,0.011187863269788647
0,58,3,0.29950982690708233
